연번,"스테이션, 성명(Station)",위치,Latitude,Longitude,광역시도코드,광역시도명,시군구코드,시군구명,법정동코드,법정동명,행정동코드,행정동명
205,대성삼거리,대전광역시 동구 대성동 200-4,36.2952225,127.4603108,30,대전광역시,30110,동구,3011013900,대성동,3011074000,산내동
206,대전대 후문,대전광역시 동구 용운동 631,36.3346126,127.4567528,30,대전광역시,30110,동구,3011010900,용운동,3011056000,용운동
207,가양초등학교,대전광역시 동구 가양동 288-6,36.3435628,127.4425718,30,대전광역시,30110,동구,3011011400,가양동,3011062000,가양1동
208,회덕농협(건너편),대전광역시 대덕구 읍내동 573-4,36.3787464,127.4271193,30,대전광역시,30230,대덕구,3023010300,읍내동,3023052500,회덕동
209,동부평생교육원,대전광역시 대덕구 법동 440-1,36.374351,127.4283477,30,대전광역시,30230,대덕구,3023010800,법동,3023061000,법2동
210,읍내동우편취급국,대전광역시 대덕구 읍내 215-5,,,30,대전광역시,30230,대덕구,3023010300,읍내동,3023052500,회덕동
211,석봉문화센터,대전광역시 대덕구 석봉동 184-1,36.4471538,127.4262414,30,대전광역시,30230,대덕구,3023011100,석봉동,3023056000,석봉동
212,대전광역시 대덕구보건소네거리(자연애마트),대전광역시 대덕구 덕암동 12-1,36.4438343,127.4251315,30,대전광역시,30230,대덕구,3023011500,덕암동,3023057000,덕암동
213,송림네거리,대전광역시 유성구 하기동 516,36.3872691,127.3206196,30,대전광역시,30200,유성구,3020013200,하기동,3020054700,노은2동
214,외삼네거리(603동),대전광역시 유성구 반석동 613,36.3942791,127.3091384,30,대전광역시,30200,유성구,3020013900,반석동,3020054800,노은3동
215,지족초등학교,대전광역시 유성구 지족동 853,36.3791848,127.3166613,30,대전광역시,30200,유성구,3020012000,지족동,3020054700,노은2동
216,건양대학교병원,대전광역시 서구 관저동 1900,36.3043522,127.3416426,30,대전광역시,30170,서구,3017011600,관저동,3017059600,관저1동
217,초록마을아파트3단지,대전광역시 서구 복수동 613,36.3005179,127.3789678,30,대전광역시,30170,서구,3017010100,복수동,3017051000,복수동
218,충대병원입구(건너편),대전광역시 중구 대사동 248-29,36.3157815,127.4182623,30,대전광역시,30140,중구,3014011000,대사동,3014063000,대사동
219,문화초등학교네거리,대전광역시 중구 유천동 168-8,36.3130789,127.3996039,30,대전광역시,30140,중구,3014011500,유천동,3014071000,유천2동
220,머티네거리,대전광역시 중구 산성동 160-9,36.3091324,127.3882203,30,대전광역시,30140,중구,3014011700,산성동,3014074000,산성동
221,갈마중학교(서부장로교회),대전광역시 서구 갈마동 338-1,36.3494895,127.3686276,30,대전광역시,30170,서구,3017011100,갈마동,3017058100,갈마1동
222,갈마아파트 한마음동산,대전광역시 서구 갈마동 392-6,36.3441315,127.3680143,30,대전광역시,30170,서구,3017011100,갈마동,3017058100,갈마1동
223,가양비래공원네거리,대전광역시 대덕구 비래동 47-1,36.353796,127.455298,30,대전광역시,30230,대덕구,3023011000,비래동,3023053300,비래동
224,정림삼거리,대전광역시 서구 정림동 497,36.3070802,127.36384,30,대전광역시,30170,서구,3017010400,정림동,3017053500,정림동
225,대전보건대,대전광역시 동구 가양동 88-1,36.3490476,127.4520825,30,대전광역시,30110,동구,3011011400,가양동,3011063000,가양2동
226,대정동 모다아울렛,대전광역시 유성구 대정동 303-2,36.3126538,127.3189821,30,대전광역시,30200,유성구,3020010300,대정동,3020052000,진잠동
227,죽동 대원칸타빌,대전광역시 유성구 죽동 141-3,36.3769377,127.3332279,30,대전광역시,30200,유성구,3020012100,죽동,3020054000,온천2동
228,노은3지구 트리풀시티포레(105동),대전광역시 유성구 지족동 1043,36.3805122,127.305122,30,대전광역시,30200,유성구,3020012000,지족동,3020054800,노은3동
229,송림마을5단지(502동),대전광역시 유성구 하기동 545,36.3898961,127.3300887,30,대전광역시,30200,유성구,3020013200,하기동,3020054700,노은2동
230,노은3지구 꿈에그린(201동),대전광역시 유성구 지족동 1093,36.3879282,127.3048566,30,대전광역시,30200,유성구,3020012000,지족동,3020054800,노은3동
231,덕명동 하우스토리(101동),대전광역시 유성구 덕명동 525,36.3564023,127.3035499,30,대전광역시,30200,유성구,3020011300,덕명동,3020053000,온천1동
232,온천2동주민센터,대전광역시 유성구 장대동 40-2,36.3652695,127.3334168,30,대전광역시,30200,유성구,3020011700,장대동,3020054000,온천2동
233,대덕산업단지 BRT정류장,대전광역시 대덕구 문평동 92-1,36.4386548,127.3949684,30,대전광역시,30230,대덕구,3023011300,문평동,3023058000,목상동
234,와동 현대아파트(대덕의원),대전광역시 대덕구 와동 372-7,36.4008254,127.4231066,30,대전광역시,30230,대덕구,3023010600,와동,3023052500,회덕동
235,비래동 금성백조(102동),대전광역시 대덕구 비래동 130-7,36.3579715,127.4506254,30,대전광역시,30230,대덕구,3023011000,비래동,3023053300,비래동
236,가양2동주민센터(건너편 한산아파트),대전광역시 동구 가양동 55-3,36.3489069,127.4481825,30,대전광역시,30110,동구,3011011400,가양동,3011063000,가양2동
237,변동네거리(복음천하교회),대전광역시 서구 변동 60-2,36.3245117,127.3781349,30,대전광역시,30170,서구,3017010200,변동,3017054000,변동
